Tweet,Sentiment
the new pokemon anime reboot looks so fresh loving the new art style,neutral
why is catching a shiny pokemon so hard,positive
just started playing scarlet again forgot how beautiful paldea is,positive
ash leaving the series still doesnt feel real,neutral
pikachu will always be the face of pokemon no debate,positive
the competitive scene feels unbalanced this year,positive
can we talk about how good the legends arceus story was,negative
this new pokemon event raid is too difficult omg,neutral
i miss the old games sometimes simpler times,negative
caught my first shiny today im screaming,negative
the mobile pokemon games are fun but too many microtransactions,negative
charizard literally gets too much attention,positive
when is game freak going to fix performance issues,negative
i love exploring open worlds in pokemon so relaxing,positive
pokecommunity is hyped today lol,negative
greninja deserved better movesets this gen,negative
pokemon sleep is actually helping me fix my bedtime,neutral
gardevoirs design is honestly so beautiful,positive
the new tcg cards look insane omg,negative
pokemon unite matchmaking makes no sense,negative
why does every rival have a broken team except me,neutral
the soundtrack of every pokemon game hits so hard,negative
some new pokemon designs are getting weird,negative
eevee evolutions are the best part of the franchise,negative
pokemon go still has my heart after all these years,neutral
i want a remake of black and white so bad,negative
nintendo please drop a new pokemon trailer already,negative
the new legendary pokemon is kinda mid,positive
pokemon fanbase arguing again nothing new,negative
i love cozy nights playing pokemon on my switch,neutral
my starter fainted five times today im done,positive
flying through the map glitch was hilarious,neutral
trading pokemon with randoms is surprisingly fun,positive
team rocket will always be iconic,positive
my whole childhood was pokemon and im proud of it,neutral
some gyms are way harder than they should be,positive
why is leveling so slow in this game omg,negative
the anime soundtrack brings back nostalgia,neutral
pokemon challenges make the game way more fun,neutral
this fan art of lucario i found is amazing,neutral
my shiny luck is actually insane today,neutral
the new pokemon animations look stiff,positive
wish they would bring mega evolution back,positive
pokemon lore goes deeper than people think,neutral
i got destroyed in ranked battles lol,positive
the new dlc wasnt worth the price tbh,neutral
pokemon soundtracks never disappoint,positive
still waiting for an open world pokemon mmo,positive
the new paradox pokemon design is fire,neutral
pokemon cafe remix is cuter than i expected,negative
i hate catching pokemon with low catch rates,neutral
just finished the pokedex feeling proud,positive
battle tower is stressing me out again,neutral
pokemon go community days are always fun,neutral
this franchise is literally never dying,negative
who else resets 20 times just to get a good nature,negative
the anime art downgrade was disappointing,neutral
finally beat the final boss what a fight,positive
pokemon snap deserved more updates,positive
my switch is overheating because of pokemon again,positive
pokemon merch is getting too expensive,positive
my friend traded me a shiny umbreon best day ever,negative
i cant believe some people skip dialogues,negative
pokemon teams take forever to plan,negative
this gym puzzle was actually annoying,neutral
why is every water type pokemon so cool,positive
i miss the fairy gym leaders,neutral
catching legendary pokemon feels amazing,positive
some npc trainers are overpowered for no reason,neutral
pokemon home takes too long to update,negative
i cant decide which starter to pick ahhh,positive
raid battles are more fun with friends,neutral
pokemon breeding takes way too long,positive
got my dream team ready,negative
nuzlockes are stressful but fun,positive
the new region looks inspired by europe again,negative
pokemon worldbuilding is seriously underrated,neutral
i failed a shiny because i misclicked,positive
pokemon battles feel too easy now,positive
this music reminds me of childhood memories,neutral
why does pikachu get special treatment every gen,positive
the anime reboot protagonist is growing on me,neutral
some people take pokemon battles way too seriously,positive
pokemon scarlet glitches were funny,negative
my storage box is full again send help,negative
this pokemon gym battle theme goes hard,positive
i found a rare pokemon by accident lol,positive
pokemon go servers down again classic,neutral
game freak needs more time for development,neutral
playing pokemon before bed hits different,positive
this trainer battle made me rage quit,negative
pokemon lore videos are too addicting,negative
caught a shiny today and im still shaking,negative
the map design is kinda empty this gen,positive
wish we had more dragon types,negative
pokemon community sometimes too toxic,neutral
finally evolved my starter took forever,neutral
pokemon battles feel so nostalgic,negative
new pokemon leaks are everywhere,negative
i will never stop loving this franchise,positive
